iter	Passed	Remaining
1063	6528	24151
1064	6535	24148
1065	6541	24139
1066	6547	24135
1067	6550	24117
1068	6557	24112
1069	6560	24097
1070	6564	24082
1071	6567	24064
1072	6579	24081
1073	6595	24110
1074	6606	24122
1075	6625	24161
1076	6630	24150
1077	6634	24137
1078	6638	24124
1079	6653	24148
1080	6657	24135
1081	6666	24141
1082	6668	24120
1083	6680	24131
1084	6683	24117
1085	6689	24108
1086	6694	24098
1087	6701	24094
1088	6707	24089
1089	6714	24086
1090	6717	24069
1091	6721	24055
1092	6725	24039
1093	6728	24023
1094	6732	24008
1095	6735	23993
1096	6739	23979
1097	6744	23967
1098	6747	23949
1099	6752	23940
1100	6761	23946
1101	6766	23935
1102	6771	23924
1103	6774	23905
1104	6781	23903
1105	6787	23896
1106	6794	23892
1107	6804	23902
1108	6812	23900
1109	6818	23895
1110	6822	23882
1111	6825	23863
1112	6828	23848
1113	6840	23861
1114	6843	23845
1115	6846	23829
1116	6851	23817
1117	6852	23792
1118	6854	23773
1119	6859	23761
1120	6867	23765
1121	6871	23751
1122	6875	23736
1123	6880	23727
1124	6884	23713
1125	6889	23703
1126	6898	23705
1127	6904	23700
1128	6909	23690
1129	6916	23688
1130	6921	23676
1131	6926	23667
1132	6933	23663
1133	6938	23654
1134	6946	23654
1135	6949	23637
1136	6950	23616
1137	6958	23615
1138	6963	23606
1139	6971	23604
1140	6976	23597
1141	6981	23586
1142	6985	23571
1143	6996	23583
1144	7003	23580
1145	7006	23562
1146	7008	23544
1147	7012	23528
1148	7016	23515
1149	7026	23523
1150	7031	23512
1151	7033	23494
1152	7038	23484
1153	7041	23467
1154	7043	23448
1155	7048	23438
1156	7052	23424
1157	7056	23413
1158	7059	23395
1159	7062	23378
1160	7070	23380
1161	7079	23382
1162	7086	23379
1163	7090	23367
1164	7094	23354
1165	7098	23340
1166	7105	23337
1167	7108	23320
1168	7114	23314
1169	7119	23304
1170	7123	23292
1171	7132	23295
1172	7141	23300
1173	7155	23318
1174	7156	23295
1175	7164	23297
1176	7169	23285
1177	7173	23274
1178	7178	23265
1179	7191	23281
1180	7193	23263
1181	7197	23247
1182	7199	23229
1183	7203	23217
1184	7208	23207
1185	7217	23210
1186	7220	23194
1187	7230	23200
1188	7232	23181
1189	7235	23165
1190	7238	23148
1191	7247	23151
1192	7251	23140
1193	7255	23128
1194	7258	23112
1195	7262	23100
1196	7265	23084
1197	7268	23067
1198	7281	23084
1199	7283	23065
1200	7286	23050
1201	7289	23033
1202	7295	23025
1203	7319	23075
1204	7323	23063
1205	7329	23058
1206	7354	23112
1207	7358	23097
1208	7362	23084
1209	7365	23071
1210	7371	23065
1211	7378	23059
1212	7380	23042
1213	7383	23025
1214	7385	23006
1215	7393	23008
1216	7406	23021
1217	7409	23006
1218	7412	22990
1219	7415	22975
1220	7418	22960
1221	7424	22953
1222	7431	22949
1223	7437	22942
1224	7440	22929
1225	7444	22915
1226	7446	22898
1227	7447	22875
1228	7452	22867
1229	7465	22882
1230	7469	22871
1231	7472	22854
1232	7475	22840
1233	7478	22823
1234	7495	22849
1235	7500	22840
1236	7504	22829
1237	7508	22817
1238	7514	22809
1239	7517	22793
1240	7528	22803
1241	7538	22809
1242	7547	22812
1243	7551	22801
1244	7561	22804
1245	7564	22789
1246	7566	22773
1247	7569	22756
1248	7570	22734
